grade,sex,country,profession,min_salary,median_salary,max_salary
Intern,Female,СНГ,Software Engineer,310,630,1160
Intern,Female,СНГ,Backend Developer,350,690,1440
Intern,Female,СНГ,DevOps,280,630,1280
Intern,Female,СНГ,Data Scientist,260,630,1150
Intern,Female,СНГ,Frontend Developer,270,650,1450
Intern,Female,СНГ,Analyst,390,690,1360
Intern,Female,СНГ,Manager,380,670,1460
Intern,Female,Германия,Software Engineer,1120,1890,3790
Intern,Female,Германия,Backend Developer,960,1850,3150
Intern,Female,Германия,DevOps,900,2000,4060
Intern,Female,Германия,Data Scientist,840,2190,4220
Intern,Female,Германия,Frontend Developer,1030,2050,3840
Intern,Female,Германия,Analyst,1140,1960,3590
Intern,Female,Германия,Manager,970,2100,4210
Intern,Female,Индия,Software Engineer,110,270,550
Intern,Female,Индия,Backend Developer,100,280,530
Intern,Female,Индия,DevOps,150,300,570
Intern,Female,Индия,Data Scientist,100,300,510
Intern,Female,Индия,Frontend Developer,130,290,650
Intern,Female,Индия,Analyst,150,320,510
Intern,Female,Индия,Manager,110,270,570
Intern,Female,США,Software Engineer,1600,3830,6510
Intern,Female,США,Backend Developer,1650,3780,7030
Intern,Female,США,DevOps,1580,3920,7380
Intern,Female,США,Data Scientist,2130,4200,8080
Intern,Female,США,Frontend Developer,1670,4100,7790
Intern,Female,США,Analyst,1880,3830,6690
Intern,Female,США,Manager,2260,3710,7400
Intern,Male,СНГ,Software Engineer,360,720,1360
Intern,Male,СНГ,Backend Developer,260,730,1290
Intern,Male,СНГ,DevOps,390,650,1320
Intern,Male,СНГ,Data Scientist,280,670,1180
Intern,Male,СНГ,Frontend Developer,270,710,1390
Intern,Male,СНГ,Analyst,280,710,1210
Intern,Male,СНГ,Manager,310,720,1190
Intern,Male,Германия,Software Engineer,1040,2020,3440
Intern,Male,Германия,Backend Developer,820,1940,3390
Intern,Male,Германия,DevOps,1040,2030,3320
Intern,Male,Германия,Data Scientist,970,2150,3970
Intern,Male,Германия,Frontend Developer,820,2150,4140
Intern,Male,Германия,Analyst,870,2170,3280
Intern,Male,Германия,Manager,770,1960,3160
Intern,Male,Индия,Software Engineer,110,320,570
Intern,Male,Индия,Backend Developer,150,290,650
Intern,Male,Индия,DevOps,140,320,640
Intern,Male,Индия,Data Scientist,150,310,550
Intern,Male,Индия,Frontend Developer,140,280,580
Intern,Male,Индия,Analyst,140,320,600
Intern,Male,Индия,Manager,110,320,520
Intern,Male,США,Software Engineer,2070,4200,7160
Intern,Male,США,Backend Developer,2210,3920,7220
Intern,Male,США,DevOps,2290,3620,8400
Intern,Male,США,Data Scientist,1570,3820,7900
Intern,Male,США,Frontend Developer,1620,4270,8370
